Wavelength,n,k
521 , 1.823744333,0.030751 
522 ,1.822725 , 0.030699333
523 , 1.821723,0.030650 
524 , 1.820738667,0.030601 
525 ,1.819770 , 0.030553333
526 ,1.818818 ,0.030507 
527 ,1.817882 ,0.030461 
528 , 1.816960333, 0.030416667
529 ,1.816054 ,0.030373 
530 , 1.815161333,0.030330 
531 ,1.814283 ,0.030287 
532 ,1.813417 ,0.030245 
533 ,1.812565 ,0.030205 
534 ,1.811725 ,0.030164 
535 , 1.810897667, 0.030124333
536 ,1.810082 ,0.030085 
537 , 1.809277667,0.030046 
538 ,1.808485 ,0.030008 
539 , 1.807703333,0.029971 
540 ,1.806932 ,0.029933 
541 ,1.806171 ,0.029897 
542 , 1.805420667,0.029861 
543 ,1.804680 ,0.029825 
544 ,1.803949 ,0.029790 
545 ,1.803227 ,0.029755 
546 , 1.802514,0.029721 
547 , 1.801810667, 0.029687333
548 ,1.801116 ,0.029654 
549 ,1.800429 ,0.029621 
550 ,1.799751 , 0.029588
551 ,1.799081 , 0.029556
552 ,1.798419 , 0.029524333
553 ,1.797765 ,0.029493 
554 ,1.797119 ,0.029462 
555 ,1.796480 ,0.029432 
556 ,1.795848 ,0.029402 
557 ,1.795223 ,0.029372 
558 , 1.794605333,0.029343 
559 ,1.793994 , 0.029314667
560 ,1.793390 ,0.029286 
561 ,1.792792 , 0.029258333
562 ,1.792201 ,0.029231 
563 ,1.791616 ,0.029204 
564 , 1.791037667,0.029177 
565 ,1.790465 , 0.029151
566 , 1.789898333, 0.029125333
567 ,1.789338 ,0.029100 
568 ,1.788783 , 0.029075333
569 ,1.788233 ,0.029051 
570 , 1.787688667,0.029027 
571 ,1.787150 , 0.029003
572 ,1.786617 , 0.028979667
573 , 1.786089333,0.028957 
574 ,1.785566 , 0.028934667
575 ,1.785049 ,0.028912 
576 , 1.784536,0.028891 
577 , 1.784028,0.028870 
578 , 1.783525,0.028849 
579 , 1.783027,0.028828 
580 , 1.782533333, 0.028808667
581 ,1.782044 ,0.028788 
582 ,1.781559 ,0.028769 
583 ,1.781079 ,0.028750 
584 ,1.780603 ,0.028732 
585 ,1.780132 ,0.028714 
586 , 1.779665,0.028696 
587 , 1.779201667, 0.028678333
588 ,1.778742 ,0.028661 
589 ,1.778287 ,0.028644 
590 ,1.777836 ,0.028628 
591 ,1.777389 , 0.028612333
592 , 1.776945667,0.028596 
593 ,1.776506 ,0.028581 
594 ,1.776070 , 0.028566333
595 ,1.775638 ,0.028552 
596 ,1.775209 ,0.028538 
597 , 1.774784,0.028523 
598 , 1.774362667,0.028510 
599 ,1.773945 ,0.028497 
600 ,1.773530 , 0.028484
601 ,1.773119 , 0.028471333
602 ,1.772711 ,0.028460 
603 ,1.772306 ,0.028447 
604 , 1.771904667,0.028436 
605 ,1.771506 ,0.028425 
606 ,1.771111 , 0.028414333
607 , 1.770719,0.028404 
608 , 1.77033,0.028394 
609 ,1.769944 ,0.028384 
610 , 1.769561, 0.028374333
611 , 1.769181,0.028365 
612 , 1.768803667, 0.028356
613 ,1.768429 , 0.028347667
614 ,1.768058 ,0.028339 
615 , 1.767689333,0.028332 
616 ,1.767324 ,0.028324 
617 ,1.766960 , 0.028316667
618 ,1.766600 ,0.028310 
619 , 1.766242,0.028303 
620 , 1.765886667, 0.028296667
621 ,1.765534 ,0.028290 
622 , 1.765184,0.028285 
623 , 1.764836667,0.028279 
624 ,1.764492 ,0.028274 
625 ,1.764149 , 0.028269333
626 ,1.763809 ,0.028264 
627 ,1.763471 , 0.028259667
628 , 1.763135667,0.028256 
629 ,1.762803 , 0.028251667
630 ,1.762472 ,0.028248 
631 , 1.762143667,0.028246 
632 ,1.761817 ,0.028242 
633 ,1.761494 ,0.028240 
634 , 1.761172,0.028237 
635 , 1.760852333, 0.028235
